zip_code,beds,baths,sqft,date,zip_median_price,sale_price
75002,3.0,2.0,1320.0,2020-03-31,309751.88003631664,340000.0
75002,3.0,2.0,1321.0,2023-02-28,471165.4754370104,335000.0
75002,3.0,2.0,1332.0,2019-11-30,303422.3147067572,285000.0
75002,3.0,2.0,1347.0,2020-10-31,318201.85999520007,300000.0
75002,3.0,2.0,1352.0,2017-03-31,285740.32784390636,299900.0
75002,3.0,2.0,1359.0,2023-11-30,482673.40747503727,314900.0
75002,3.0,2.0,1360.0,2022-12-31,473280.98370092845,267000.0
75002,3.0,2.0,1360.0,2021-11-30,401482.3884908246,319900.0
75002,3.0,2.0,1360.0,2017-05-31,289621.0663987174,340000.0
75002,3.0,2.0,1369.0,2024-01-31,481132.82119687187,309900.0
75002,3.0,2.0,1380.0,2016-03-31,263874.5723322207,280000.0
75002,3.0,2.0,1424.0,2021-01-31,330604.05369670695,270000.0
75002,3.0,2.0,1430.0,2022-04-30,461832.0525970876,319500.0
75002,3.0,2.0,1430.0,2017-01-31,282207.18391871447,365000.0
75002,3.0,2.0,1432.0,2019-05-31,304499.7370389998,330000.0
75002,3.0,2.0,1438.0,2019-06-30,303715.98941582564,324900.0
75002,3.0,2.0,1439.0,2015-11-30,255788.45537467752,335000.0
75002,3.0,2.0,1440.0,2025-11-30,457733.3108526523,345000.0
75002,3.0,2.0,1442.0,2016-08-31,274115.9998799583,365000.0
75002,3.0,2.0,1469.0,2024-06-30,487142.0703973159,299000.0
75002,3.0,2.0,1472.0,2016-11-30,278544.3042860265,265000.0
75002,3.0,2.0,1481.0,2023-04-30,470462.8128715809,285000.0
75002,3.0,2.0,1499.0,2023-03-31,470456.0526439177,367900.0
75002,3.0,2.0,1499.0,2018-01-31,299231.61830466305,375000.0
75002,3.0,2.0,1500.0,2022-02-28,431675.8628656997,325000.0
75002,3.0,2.0,1569.0,2020-07-31,310802.18325338693,399000.0
75002,3.0,2.0,1585.0,2015-04-30,240003.31795911907,349500.0
75002,3.0,2.0,1585.0,2023-04-30,470462.8128715809,350000.0
75002,3.0,2.0,1590.0,2019-05-31,304499.7370389998,335000.0
75002,3.0,2.0,1596.0,2020-05-31,310666.760464399,330000.0
75002,3.0,2.0,1619.0,2018-03-31,301259.6336144773,320000.0
75002,3.0,2.0,1620.0,2019-09-30,302396.514884782,415000.0
75002,3.0,2.0,1656.0,2017-05-31,289621.0663987174,340000.0
75002,3.0,2.0,1657.0,2018-03-31,301259.6336144773,285000.0
75002,3.0,2.0,1661.0,2018-02-28,300264.58275105717,335000.0
